instance family
si2_m4Dr6_m625.02 6 1000017
si2_m4Dr6_m625.00 6 1000027
si6_b03_m800.02 3 62
si6_b03_m800.04 3 60
si6_b03_m800.03 3 61
si6_b03_m800.05 3 57
si6_b03_m800.06 3 70
si6_b03_m800.01 3 59
si6_b03_m800.00 3 60
si6_b03_m800.07 3 59
si6_b03_m800.09 3 65
si6_b03_m800.08 3 57
si4_m4D_m1296.09 5 1000063
si4_m4D_m1296.06 5 1000048
si4_m4D_m1296.05 5 1000066
si4_m4D_m1296.00 5 1000059
si4_m4D_m1296.03 5 1000022
si4_m4D_m1296.04 5 1000041
si4_m4D_m1296.08 5 1000072
si4_m4D_m1296.02 5 1000036
si4_m4D_m1296.01 5 1000062
si4_m4D_m1296.07 5 70
si6_b03m_m400.03 4 1000011
si6_b03m_m400.01 4 1000039
si6_b03m_m400.09 4 7035
si6_b03m_m400.08 4 1000020
si6_b03m_m400.07 4 1000031
si6_b03m_m400.02 4 1000012
si6_b03m_m400.05 4 14769
si6_b03m_m400.00 4 1000019
si6_b03m_m400.06 4 1000017
si6_b03m_m400.04 4 1000032
si4_m4D_m256.07 5 1000004
si4_m4D_m256.06 5 225994
si4_m4D_m256.05 5 1000008
si4_m4D_m256.08 5 1000003
si4_m4D_m256.04 5 1000019
si4_m4D_m256.09 5 1000028
si4_m4D_m256.02 5 248137
si4_m4D_m256.00 5 1000031
si4_m4D_m256.03 5 1000032
si4_m4D_m256.01 5 1000001
si6_b06m_m800.07 4 1000038
si6_b06m_m800.04 4 1000013
si6_b06m_m800.01 4 37138
si6_b06m_m800.00 4 64
si6_b06m_m800.05 4 1000016
si6_b06m_m800.08 4 75
si6_b06m_m800.09 4 60
si6_b06m_m800.02 4 60
si6_b06m_m800.03 4 59
si6_b06m_m800.06 4 1000047
si4_r001_m400.08 7 1000018
si4_r001_m400.06 7 1000029
si4_r001_m400.02 7 1000022
si4_r001_m400.00 7 1000014
si4_r001_m400.04 7 1000002
si4_r001_m400.03 7 1000017
si4_r001_m400.09 7 1000033
si4_r001_m400.05 7 1000013
si4_r001_m400.01 7 1000004
si4_r001_m400.07 7 1000008
si2_m4Dr6_m1296.00 6 1000070
si2_m4Dr6_m1296.01 6 1000060
si2_m4Dr6_m1296.09 6 1000043
si2_m4Dr6_m1296.06 6 1000046
si2_m4Dr6_m1296.03 6 1000078
si2_m4Dr6_m1296.02 6 1000012
si2_m4Dr6_m1296.05 6 1000082
si2_m4Dr6_m1296.08 6 1000088
si2_m4Dr6_m1296.04 6 1000062
si2_m4Dr6_m1296.07 6 1000092
si2_b03_m800.07 3 24
si2_b03_m800.08 3 23
si2_b03_m800.04 3 26
si2_b03_m800.05 3 28
si2_b03_m800.09 3 30
