instance family
si2_b06m_m200.05 4 19
si2_b06m_m200.02 4 19
si2_b06m_m200.00 4 20
si2_b06m_m200.01 4 20
si2_b06m_m200.09 4 20
si2_b06m_m200.07 4 20
si6_m4Dr4_m625.05 6 404
si6_m4Dr4_m625.09 6 398
si6_m4Dr4_m625.04 6 407
si6_m4Dr4_m625.00 6 468
si6_m4Dr4_m625.08 6 399
si6_m4Dr4_m625.06 6 390
si6_m4Dr4_m625.01 6 510
si6_m4Dr4_m625.03 6 419
si6_m4Dr4_m625.07 6 433
si6_m4Dr4_m625.02 6 402
si4_b03_m200.06 3 27
si4_b03_m200.02 3 27
si4_b03_m200.07 3 40
si4_b03_m200.04 3 27
si4_b03_m200.03 3 27
si4_b03_m200.05 3 27
si4_b03_m200.09 3 28
si4_b03_m200.01 3 30
si4_b03_m200.00 3 28
si4_b03_m200.08 3 33
si2_b03_m400.03 3 116
si2_b03_m400.06 3 85
si2_b03_m400.07 3 136
si2_b03_m400.01 3 82
si2_b03_m400.05 3 84
si2_b03_m400.09 3 83
si2_b03_m400.02 3 82
si2_b03_m400.00 3 139
si2_b03_m400.08 3 82
si2_b03_m400.04 3 85
si4_b09_m200.02 3 50
si4_b09_m200.01 3 54
si4_b09_m200.00 3 31
si4_b09_m200.09 3 32
si4_b09_m200.08 3 32
