instance family mcis-fc-induced
si2_b09m_m400.04 4 19.467255
si2_b09m_m400.07 4 1000.000000
si2_b09_m800.07 3 477.300140
si2_b09_m800.04 3 471.908905
si2_b09_m800.05 3 741.215454
si2_b09_m800.00 3 661.254517
si2_b09_m800.02 3 528.135925
si2_b09_m800.01 3 452.118469
si2_b09_m800.08 3 448.101044
si2_b09_m800.09 3 618.284241
si2_b09_m800.03 3 619.978210
si2_b09_m800.06 3 469.692383
si6_b03_m400.04 3 344.435577
si6_b03_m400.09 3 316.527863
si6_b03_m400.02 3 368.093292
si6_b03_m400.06 3 312.747711
si6_b03_m400.05 3 357.440674
si6_b03_m400.08 3 228.462631
si6_b03_m400.01 3 216.436188
si6_b03_m400.07 3 270.239410
si6_b03_m400.03 3 256.036011
si6_b03_m400.00 3 437.969574
si2_r005_m600.03 7 1000.000122
si2_r005_m600.00 7 1000.000122
si2_r005_m600.06 7 1000.000122
si2_r005_m600.01 7 1000.000122
si2_r005_m600.04 7 1000.000122
si2_r005_m600.09 7 1000.000122
si2_r005_m600.05 7 1000.000061
si2_r005_m600.02 7 1000.000122
si2_r005_m600.08 7 1000.000061
si2_r005_m600.07 7 1000.000122
si4_r01_m600.05 7 1e8
si4_r01_m600.02 7 1e8
si4_r01_m600.03 7 1e8
si4_r01_m600.07 7 1e8
si4_r01_m600.08 7 1e8
si4_r01_m600.06 7 1e8
si4_r01_m600.01 7 1e8
si4_r01_m600.04 7 1e8
si4_r01_m600.00 7 1e8
si4_r01_m600.09 7 1e8
si2_b09_m400.04 3 21.818216
si2_b09_m400.08 3 18.285711
si2_b09_m400.05 3 208.669434
si2_b09_m400.01 3 20.975016
si2_b09_m400.03 3 26.050421
si2_b09_m400.02 3 33.393559
si2_b09_m400.07 3 20.397505
si2_b09_m400.09 3 24.819347
si2_b09_m400.06 3 59.176857
si2_b09_m400.00 3 21.677999
si4_b06_m200.06 3 4.406304
si4_b06_m200.03 3 4.345479
si4_b06_m200.02 3 4.745122
si4_b06_m200.07 3 4.682268
si4_b06_m200.05 3 4.771265
si4_b06_m200.08 3 4.202571
si4_b06_m200.00 3 4.361328
si4_b06_m200.04 3 4.243485
si4_b06_m200.01 3 4.714605
si4_b06_m200.09 3 4.150857
si4_r005_m400.06 7 1000.000122
si4_r005_m400.03 7 1000.000122
si4_r005_m400.07 7 1000.000122
si4_r005_m400.01 7 1000.000122
si4_r005_m400.04 7 1000.000122
si4_r005_m400.00 7 1000.000122
si4_r005_m400.09 7 1000.000122
si4_r005_m400.05 7 1000.000122
si4_r005_m400.08 7 1000.000061
si4_r005_m400.02 7 1000.000122
si4_m4Dr2_m1296.07 6 1e8
si4_m4Dr2_m1296.00 6 1e8
si4_m4Dr2_m1296.05 6 1e8
si4_m4Dr2_m1296.04 6 1e8
si4_m4Dr2_m1296.08 6 1e8
si4_m4Dr2_m1296.01 6 1e8
si4_m4Dr2_m1296.06 6 1e8
si4_m4Dr2_m1296.02 6 1e8
si4_m4Dr2_m1296.03 6 1e8
si4_m4Dr2_m1296.09 6 1e8
si6_b09_m800.03 3 1e8
si6_b09_m800.09 3 1e8
si6_b09_m800.07 3 1e8
si6_b09_m800.05 3 1e8
si6_b09_m800.04 3 1e8
si6_b09_m800.01 3 1e8
si6_b09_m800.00 3 1e8
si6_b09_m800.02 3 1e8
si6_b09_m800.06 3 1e8
si6_b09_m800.08 3 1e8
si6_b06m_m400.00 4 275.632599
si6_b06m_m400.08 4 247.878281
si6_b06m_m400.03 4 286.670105
si6_b06m_m400.04 4 264.740509
si6_b06m_m400.06 4 1000.000305
si6_b06m_m400.07 4 1000.000427
si6_b06m_m400.09 4 1000.000305
si6_b06m_m400.02 4 1000.000366
si6_b06m_m400.01 4 1000.000854
si6_b06m_m400.05 4 1000.000427
si2_m4Dr4_m1296.08 6 1e8
