instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b06m_s90_AB07 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06m_s90_AB08 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06m_s90_AB09 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b09_s100_AB00 8985 1000.000000 1000.000000 1000000 1000000 1000000 1000000 617 462
mcs10_b09_s100_AB01 4025 1000.000000 1000.000000 1000000 1000000 639480 1000000 346 253
mcs10_b09_s100_AB02 17188 1000.000000 1000.000000 1000000 1000000 836432 1000000 938 677
mcs10_b09_s100_AB03 50044 1000.000000 1000.000000 1000000 1000000 725731 1000000 3569 2595
mcs10_b09_s100_AB04 7306 1000.000000 1000.000000 659506 1000000 310886 590403 559 396
mcs10_b09_s100_AB05 20353 1000.000000 1000.000000 1000000 1000000 748742 1000000 1338 1026
mcs10_b09_s100_AB06 2557 1000.000000 1000.000000 170266 326654 70386 136051 224 152
mcs10_b09_s100_AB07 14389 1000.000000 1000.000000 461540 696005 332277 506552 1036 743
mcs10_b09_s100_AB08 43138 1000.000000 1000.000000 959189 1000000 423023 840123 3176 2747
mcs10_b09_s100_AB09 8794 1000.000000 1000.000000 987791 1000000 546350 1000000 634 458
mcs10_b09m_s100_AB00 7492 1000.000000 1000.000000 1000000 1000000 583902 1000000 689 534
mcs10_b09m_s100_AB01 94547 1000.000000 1000.000000 1000000 1000000 1000000 1000000 5439 3899
mcs10_b09m_s100_AB02 21965 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1531 1097
mcs10_b09m_s100_AB03 7611 1000.000000 1000.000000 1000000 1000000 614633 1000000 589 432
mcs10_b09m_s100_AB04 5469 1000.000000 1000.000061 977152 1000000 398627 744066 427 292
mcs10_b09m_s100_AB05 2340 1000.000000 1000.000000 753285 1000000 322881 665281 177 113
mcs10_b09m_s100_AB06 44022 1000.000000 1000.000061 1000000 1000000 1000000 1000000 3483 3378
mcs10_b09m_s100_AB07 16646 1000.000000 1000.000000 1000000 1000000 715771 1000000 1145 831
mcs10_b09m_s100_AB08 10795 1000.000000 1000.000000 1000000 1000000 388711 755226 788 653
mcs10_b09m_s100_AB09 40779 1000.000000 1000.000000 1000000 1000000 761540 1000000 2713 2094
mcs10_m2D_s100_AB00 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 242755 146921
mcs10_m2D_s100_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 33300 34195
mcs10_m2D_s100_AB02 1000000 1000.000000 1000.000000 1000000 1000001 1000000 1000000 125868 73626
mcs10_m2D_s100_AB03 372739 1000.000061 1000.000000 1000000 1000000 1000000 1000000 14319 6992
mcs10_m2D_s100_AB04 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 205786 227990
mcs10_m2D_s100_AB05 453150 1000.000000 1000.000000 1000000 1000000 1000000 1000000 30767 23125
mcs10_m2D_s100_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 713457 550168
mcs10_m2D_s100_AB07 1000000 1000.000122 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_m2D_s100_AB08 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 102870 73113
mcs10_m2D_s100_AB09 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 569489 468272
mcs10_m2D_s40_AB00 1376 35.515362 27.102352 2298 3363 2093 2991 115 88
mcs10_m2D_s40_AB01 613 22.791447 13.569684 840 772 477 590 34 40
mcs10_m2D_s40_AB02 16 3.913408 3.107519 613 709 261 283 12 14
mcs10_m2D_s40_AB03 81 13.372975 8.702499 704 733 483 348 18 24
mcs10_m2D_s40_AB04 79 67.578552 43.405128 2975 4410 2124 3092 17 19
mcs10_m2D_s40_AB05 146 20.364048 14.910416 1828 2483 1160 1596 22 25
mcs10_m2D_s40_AB06 937 20.171274 15.612285 469 630 335 445 77 65
mcs10_m2D_s40_AB07 269 50.957977 27.979242 1340 1307 1174 1414 23 28
mcs10_m2D_s40_AB08 61 0.832711 0.587596 113 153 52 89 16 16
mcs10_m2D_s40_AB09 28 16.998220 7.287188 1928 1622 1242 968 14 16
mcs10_m2D_s50_AB00 1000000 1000.000000 1000.000000 146242 91659 97232 117637 23130 8141
mcs10_m2D_s50_AB01 1000000 1000.000000 1000.000000 461694 602751 401134 519961 49305 35699
mcs10_m2D_s50_AB02 59207 1000.000000 1000.000061 436443 421553 162496 139041 2335 1630
mcs10_m2D_s50_AB03 275287 1000.000000 1000.000000 64309 72098 63539 71108 18661 13672
mcs10_m2D_s50_AB04 3095 1000.000061 1000.000000 66438 89700 20352 10976 114 84
mcs10_m2D_s50_AB05 1000000 1000.000000 1000.000000 198050 236011 144287 179557 110962 72871
mcs10_m2D_s50_AB06 18386 1000.000000 1000.000000 429189 244645 155336 169298 321 230
mcs10_m2D_s50_AB07 42243 1000.000000 1000.000000 1000000 1000000 336361 391997 2924 2048
