instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_r02_s35_AB08 1000000 561699 1000000 1000.000000 1000.000000 1000.000000 117920
mcs10_r02_s35_AB09 1000000 541221 1000000 1000.000000 1000.000000 1000.000000 136516
mcs10_r02_s40_AB00 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 792859
mcs10_r02_s40_AB01 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 957733
mcs10_r02_s40_AB02 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB03 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB04 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB05 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB06 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB07 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB08 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_r02_s40_AB09 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r02_s50_AB00 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000006
mcs10_r02_s50_AB01 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000007
mcs10_r02_s50_AB02 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_r02_s50_AB03 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_r02_s50_AB04 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_r02_s50_AB05 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_r02_s50_AB06 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000007
mcs10_r02_s50_AB07 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_r02_s50_AB08 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r02_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000005
mcs30_b03_s15_AB00 11 0 0 0.008406 0.007649 0.007834 12
mcs30_b03_s15_AB01 20 0 0 0.010496 0.008968 0.008499 15
mcs30_b03_s15_AB02 21 0 0 0.009500 0.009914 0.009435 14
mcs30_b03_s15_AB03 22 2 3 0.032793 0.032934 0.030596 14
mcs30_b03_s15_AB04 17 1 0 0.025155 0.021987 0.013246 14
mcs30_b03_s15_AB05 18 0 1 0.018837 0.012765 0.011967 14
mcs30_b03_s15_AB06 15 1 1 0.012689 0.019670 0.018587 15
mcs30_b03_s15_AB07 20 2 2 0.032923 0.018676 0.027687 14
mcs30_b03_s15_AB08 17 2 2 0.035127 0.028868 0.018100 13
mcs30_b03_s15_AB09 20 1 0 0.011139 0.008215 0.007729 15
mcs30_b03_s20_AB00 1057 55 80 0.257066 0.113937 0.106535 83
mcs30_b03_s20_AB01 610 31 35 0.303140 0.117508 0.109996 84
mcs30_b03_s20_AB02 503 21 26 0.110945 0.050212 0.047393 61
mcs30_b03_s20_AB03 709 12 10 0.282671 0.179521 0.166321 73
mcs30_b03_s20_AB04 1449 76 161 1.042819 0.297035 0.273353 90
mcs30_b03_s20_AB05 618 51 25 0.371649 0.169499 0.155718 88
mcs30_b03_s20_AB06 862 6 6 0.301103 0.142562 0.129595 72
mcs30_b03_s20_AB07 428 12 7 0.095923 0.053340 0.049530 60
mcs30_b03_s20_AB08 229 31 39 0.258807 0.120019 0.110177 56
mcs30_b03_s20_AB09 565 22 45 0.432433 0.220572 0.204370 67
mcs30_b03_s25_AB00 29649 530 345 8.884953 0.756374 0.765788 1732
