instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_r02_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs30_b03_s15_AB00 2505 3519 3986 2544.000000 1090.000000 1418.000000 2729
mcs30_b03_s15_AB01 10248 3321 3508 3551.000000 1457.000000 1474.000000 7050
mcs30_b03_s15_AB02 10745 2594 3379 3014.000000 1562.000000 1579.000000 9104
mcs30_b03_s15_AB03 12048 14468 18143 13628.000000 4139.000000 4166.000000 10738
mcs30_b03_s15_AB04 6625 4953 3845 5870.000000 2683.000000 2679.000000 5318
mcs30_b03_s15_AB05 7783 3683 4684 4145.000000 2354.000000 2354.000000 8855
mcs30_b03_s15_AB06 5410 4702 6272 4156.000000 2088.000000 2102.000000 6124
mcs30_b03_s15_AB07 12084 13381 15848 14374.000000 3600.000000 3957.000000 13124
mcs30_b03_s15_AB08 7119 12687 15879 8680.000000 3121.000000 3392.000000 7187
mcs30_b03_s15_AB09 9502 7017 3828 4012.000000 1381.000000 1381.000000 7390
mcs30_b03_s20_AB00 538117 394165 276121 71486.000000 17006.000000 17011.000000 242534
mcs30_b03_s20_AB01 251043 102056 100862 97877.000000 17111.000000 17052.000000 245886
mcs30_b03_s20_AB02 176553 59444 67783 28631.000000 8048.000000 8045.000000 120776
mcs30_b03_s20_AB03 308023 42163 26031 85983.000000 27937.000000 27950.000000 256591
mcs30_b03_s20_AB04 749217 497516 550070 396781.000000 49256.000000 49294.000000 536501
mcs30_b03_s20_AB05 284909 212202 132730 124903.000000 24503.000000 24432.000000 245294
mcs30_b03_s20_AB06 408009 20391 15790 104055.000000 24171.000000 23909.000000 310428
mcs30_b03_s20_AB07 179701 37875 18401 17906.000000 7736.000000 7758.000000 125915
mcs30_b03_s20_AB08 82216 108690 129622 87759.000000 20027.000000 19994.000000 81093
mcs30_b03_s20_AB09 231642 112381 139601 143838.000000 32626.000000 32635.000000 235854
mcs30_b03_s25_AB00 7397450 3561278 2237193 2754612.000000 106243.000000 103239.000000 8718504
mcs30_b03_s25_AB01 2418752 66398 57079 74022.000000 31700.000000 31748.000000 5146230
mcs30_b03_s25_AB02 4954608 8008041 4002735 12423918.000000 309053.000000 306982.000000 5357516
mcs30_b03_s25_AB03 5242764 2500917 919978 1126223.000000 122215.000000 121924.000000 5301120
mcs30_b03_s25_AB04 16223646 3919459 2935532 2054621.000000 163863.000000 164061.000000 13145052
mcs30_b03_s25_AB05 9843681 4387095 2851609 2030154.000000 139720.000000 139683.000000 11589798
mcs30_b03_s25_AB06 3410542 558678 586348 497815.000000 163770.000000 163369.000000 4541621
mcs30_b03_s25_AB07 9398529 3672042 2563052 2081749.000000 137577.000000 134851.000000 6893740
mcs30_b03_s25_AB08 3542537 868004 784327 771060.000000 110790.000000 110797.000000 2288622
mcs30_b03_s25_AB09 9548976 7973470 8257183 4955377.000000 197451.000000 197360.000000 9636371
