instance family cp
mcs30_b03m_s30_AB03 0 24.215441
mcs30_b03m_s30_AB04 0 185.536972
mcs30_b03m_s30_AB05 0 49.244904
mcs30_b03m_s30_AB06 0 119.029305
mcs30_b03m_s30_AB07 0 66.708176
mcs30_b03m_s30_AB08 0 51.473297
mcs30_b03m_s30_AB09 0 37.630749
mcs30_b03m_s35_AB00 0 384.838745
mcs30_b03m_s35_AB01 0 407.521881
mcs30_b03m_s35_AB02 0 204.181274
mcs30_b03m_s35_AB03 0 1000.000000
mcs30_b03m_s35_AB04 0 890.610168
mcs30_b03m_s35_AB05 0 923.056641
mcs30_b03m_s35_AB06 0 1000.000000
mcs30_b03m_s35_AB07 0 908.396301
mcs30_b03m_s35_AB08 0 1000.000000
mcs30_b03m_s35_AB09 0 1000.000000
mcs30_b03m_s40_AB00 0 1000.000000
mcs30_b03m_s40_AB01 0 1000.000000
mcs30_b03m_s40_AB02 0 1000.000061
mcs30_b03m_s40_AB03 0 1000.000000
mcs30_b03m_s40_AB04 0 1000.000000
mcs30_b03m_s40_AB05 0 1000.000000
mcs30_b03m_s40_AB06 0 1000.000000
mcs30_b03m_s40_AB07 0 1000.000061
mcs30_b03m_s40_AB08 0 1000.000000
mcs30_b03m_s40_AB09 0 1000.000000
mcs30_b03m_s50_AB00 0 1000.000061
mcs30_b03m_s50_AB01 0 1000.000061
mcs30_b03m_s50_AB02 0 1000.000061
mcs30_b03m_s50_AB03 0 1000.000000
mcs30_b03m_s50_AB04 0 1000.000061
mcs30_b03m_s50_AB05 0 1000.000000
mcs30_b03m_s50_AB06 0 1000.000061
mcs30_b03m_s50_AB07 0 1000.000061
mcs30_b03m_s50_AB08 0 1000.000061
mcs30_b03m_s50_AB09 0 1000.000000
mcs30_b06_s25_AB00 0 4.393752
mcs30_b06_s25_AB01 0 3.358462
mcs30_b06_s25_AB02 0 4.506867
mcs30_b06_s25_AB03 0 4.886583
mcs30_b06_s25_AB04 0 7.337733
mcs30_b06_s25_AB05 0 4.981155
mcs30_b06_s25_AB06 0 11.848876
mcs30_b06_s25_AB07 0 4.358355
mcs30_b06_s25_AB08 0 15.706709
mcs30_b06_s25_AB09 0 2.371934
mcs30_b06_s30_AB00 0 183.605957
mcs30_b06_s30_AB01 0 172.068146
mcs30_b06_s30_AB02 0 154.312836
mcs30_b06_s30_AB03 0 83.478188
mcs30_b06_s30_AB04 0 160.692184
mcs30_b06_s30_AB05 0 211.886169
mcs30_b06_s30_AB06 0 42.360992
mcs30_b06_s30_AB07 0 834.531311
mcs30_b06_s30_AB08 0 172.790115
mcs30_b06_s30_AB09 0 46.529167
mcs30_b06_s35_AB00 0 1000.000000
mcs30_b06_s35_AB01 0 1000.000000
mcs30_b06_s35_AB02 0 1000.000000
mcs30_b06_s35_AB03 0 1000.000000
mcs30_b06_s35_AB04 0 1000.000000
mcs30_b06_s35_AB05 0 1000.000000
mcs30_b06_s35_AB06 0 1000.000000
mcs30_b06_s35_AB07 0 1000.000000
mcs30_b06_s35_AB08 0 1000.000000
mcs30_b06_s35_AB09 0 1000.000000
mcs30_b06_s40_AB00 0 1000.000000
mcs30_b06_s40_AB01 0 1000.000000
mcs30_b06_s40_AB02 0 1000.000000
mcs30_b06_s40_AB03 0 1000.000000
mcs30_b06_s40_AB04 0 1000.000000
mcs30_b06_s40_AB05 0 1000.000061
mcs30_b06_s40_AB06 0 1000.000000
mcs30_b06_s40_AB07 0 1000.000000
mcs30_b06_s40_AB08 0 1000.000000
mcs30_b06_s40_AB09 0 1000.000000
mcs30_b06_s50_AB00 0 1000.000061
mcs30_b06_s50_AB01 0 1000.000061
mcs30_b06_s50_AB02 0 1000.000000
mcs30_b06_s50_AB03 0 1000.000000
mcs30_b06_s50_AB04 0 1000.000000
mcs30_b06_s50_AB05 0 1000.000000
mcs30_b06_s50_AB06 0 1000.000000
mcs30_b06_s50_AB07 0 1000.000000
mcs30_b06_s50_AB08 0 1000.000000
mcs30_b06_s50_AB09 0 1000.000000
mcs30_b06m_s25_AB00 0 7.376489
mcs30_b06m_s25_AB01 0 7.624720
mcs30_b06m_s25_AB02 0 10.597423
mcs30_b06m_s25_AB03 0 4.786776
mcs30_b06m_s25_AB04 0 4.367332
mcs30_b06m_s25_AB05 0 15.816964
mcs30_b06m_s25_AB06 0 10.279239
mcs30_b06m_s25_AB07 0 6.758645
mcs30_b06m_s25_AB08 0 6.922166
mcs30_b06m_s25_AB09 0 10.850606
mcs30_b06m_s30_AB00 0 107.287178
mcs30_b06m_s30_AB01 0 582.683228
mcs30_b06m_s30_AB02 0 150.386597
mcs30_b06m_s30_AB03 0 224.643646
mcs30_b06m_s30_AB04 0 98.848549
mcs30_b06m_s30_AB05 0 84.558350
mcs30_b06m_s30_AB06 0 122.456070
