instance clique cp-fc james-cpp-max
mcs10_m2Dr4_s50_AB04 15948 1000.000000 44520
mcs10_m2Dr4_s50_AB05 10213 1000.000000 25743
mcs10_m2Dr4_s50_AB06 2303 311.028015 14369
mcs10_m2Dr4_s50_AB07 1914 1000.000000 30867
mcs10_m2Dr4_s50_AB08 3400 568.090881 49680
mcs10_m2Dr4_s50_AB09 9559 1000.000000 91771
mcs10_m2Dr4_s60_AB00 1641 1000.000000 82850
mcs10_m2Dr4_s60_AB01 1235 257.619751 11008
mcs10_m2Dr4_s60_AB02 4019 1000.000000 19400
mcs10_m2Dr4_s60_AB03 1490 171.000519 1879
mcs10_m2Dr4_s60_AB04 504 63.491062 981
mcs10_m2Dr4_s60_AB05 2258 1000.000000 31011
mcs10_m2Dr4_s60_AB06 887 177.939880 5194
mcs10_m2Dr4_s60_AB07 962 182.935379 5151
mcs10_m2Dr4_s60_AB08 4603 540.463989 12457
mcs10_m2Dr4_s60_AB09 1907 1000.000000 20914
mcs10_m2Dr4_s70_AB00 48843 1000.000061 186624
mcs10_m2Dr4_s70_AB01 354194 1000.000000 1000000
mcs10_m2Dr4_s70_AB02 6609 1000.000000 88633
mcs10_m2Dr4_s70_AB03 230203 1000.000061 1000000
mcs10_m2Dr4_s70_AB04 54419 1000.000061 455588
mcs10_m2Dr4_s70_AB05 1000000 1000.000000 162424
mcs10_m2Dr4_s70_AB06 13088 1000.000000 1000000
mcs10_m2Dr4_s70_AB07 25244 1000.000061 605904
mcs10_m2Dr4_s70_AB08 289280 1000.000000 522187
mcs10_m2Dr4_s70_AB09 13934 1000.000061 485428
mcs10_m2Dr4_s80_AB00 1000000 1000.000000 1000000
mcs10_m2Dr4_s80_AB01 1000000 1000.000000 1000000
mcs10_m2Dr4_s80_AB02 1000000 1000.000061 1000000
mcs10_m2Dr4_s80_AB03 606030 1000.000061 1000000
mcs10_m2Dr4_s80_AB04 1000000 1000.000061 1000000
mcs10_m2Dr4_s80_AB05 1000000 1000.000061 1000000
mcs10_m2Dr4_s80_AB06 1000000 1000.000000 1000000
mcs10_m2Dr4_s80_AB07 1000000 1000.000061 1000000
mcs10_m2Dr4_s80_AB08 504730 1000.000061 1000000
mcs10_m2Dr4_s80_AB09 1000000 1000.000000 1000000
mcs10_m2Dr4_s90_AB00 1000000 1000.000061 1000001
mcs10_m2Dr4_s90_AB01 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB02 1000000 1000.000000 1000000
mcs10_m2Dr4_s90_AB03 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB04 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB05 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB06 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB07 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB08 1000000 1000.000061 1000000
mcs10_m2Dr4_s90_AB09 1000000 1000.000061 1000000
mcs10_m2Dr6_s100_AB00 1000000 1000.000061 1000000
mcs10_m2Dr6_s100_AB01 1000000 1000.000061 1000000
mcs10_m2Dr6_s100_AB02 230798 1000.000061 1000000
mcs10_m2Dr6_s100_AB03 40443 1000.000061 1000000
mcs10_m2Dr6_s100_AB04 429299 1000.000061 1000000
mcs10_m2Dr6_s100_AB05 1000000 1000.000061 1000000
mcs10_m2Dr6_s100_AB06 379388 1000.000061 1000000
mcs10_m2Dr6_s100_AB07 471759 1000.000061 1000000
mcs10_m2Dr6_s100_AB08 1000000 1000.000061 1000000
mcs10_m2Dr6_s100_AB09 1000000 1000.000061 1000000
mcs10_m2Dr6_s40_AB00 87 3.668599 137
mcs10_m2Dr6_s40_AB01 76 10.664474 184
mcs10_m2Dr6_s40_AB02 23 5.436993 101
mcs10_m2Dr6_s40_AB03 20 2.734866 299
mcs10_m2Dr6_s40_AB04 79 1.422735 38
mcs10_m2Dr6_s40_AB05 24 12.805410 502
mcs10_m2Dr6_s40_AB06 34 2.672216 182
mcs10_m2Dr6_s40_AB07 36 14.729467 376
mcs10_m2Dr6_s40_AB08 12 1.542278 143
mcs10_m2Dr6_s40_AB09 184 23.379965 779
mcs10_m2Dr6_s50_AB00 78867 1000.000000 22233
mcs10_m2Dr6_s50_AB01 62860 1000.000000 94621
mcs10_m2Dr6_s50_AB02 9406 325.089020 9717
mcs10_m2Dr6_s50_AB03 6137 743.356567 20319
mcs10_m2Dr6_s50_AB04 19086 1000.000000 43078
mcs10_m2Dr6_s50_AB05 3209 255.993774 3309
mcs10_m2Dr6_s50_AB06 30924 837.719177 17648
mcs10_m2Dr6_s50_AB07 31818 772.624817 41115
mcs10_m2Dr6_s50_AB08 14819 227.014969 3939
mcs10_m2Dr6_s50_AB09 9160 1000.000000 121027
mcs10_m2Dr6_s60_AB00 4505 256.825439 3391
mcs10_m2Dr6_s60_AB01 8416 134.865875 5791
mcs10_m2Dr6_s60_AB02 518 55.183033 1210
mcs10_m2Dr6_s60_AB03 538 229.431763 10306
mcs10_m2Dr6_s60_AB04 317 218.567780 8286
mcs10_m2Dr6_s60_AB05 430 146.707230 13880
mcs10_m2Dr6_s60_AB06 734 460.676056 10877
mcs10_m2Dr6_s60_AB07 5911 1000.000000 6378
mcs10_m2Dr6_s60_AB08 424 418.096375 7100
mcs10_m2Dr6_s60_AB09 781 406.067078 9210
mcs10_m2Dr6_s70_AB00 37017 1000.000061 1000000
mcs10_m2Dr6_s70_AB01 51034 1000.000000 1000000
mcs10_m2Dr6_s70_AB02 808997 1000.000000 1000000
mcs10_m2Dr6_s70_AB03 57719 1000.000000 322070
mcs10_m2Dr6_s70_AB04 5393 1000.000061 24188
mcs10_m2Dr6_s70_AB05 226023 1000.000000 855787
mcs10_m2Dr6_s70_AB06 78370 1000.000000 1000000
