instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si2_b03_m200.03 1000004 1.119808 30 0 0 9
si2_b03_m200.06 840013 1.052298 18 0 0 9
si2_b03_m200.00 137188 1.223637 18 0 0 10
si4_r005_m600.00 1e6 1e3 104464 1000002 124 11126
si4_r005_m600.02 1e6 1e3 30411 1000002 146 3124
si4_r005_m600.08 1e6 1e3 113407 1000003 1039 12148
si4_r005_m600.05 1e6 1e3 64060 1000002 373 6214
si4_r005_m600.07 1e6 1e3 51034 1000003 210 5474
si4_r005_m600.06 1e6 1e3 197042 1000002 432 18786
si4_r005_m600.01 1e6 1e3 85976 1000002 62 8604
si4_r005_m600.04 1e6 1e3 89941 1000002 406 9157
si4_r005_m600.03 1e6 1e3 37166 1000003 55 3846
si4_r005_m600.09 1e6 1e3 32662 1000002 28 3312
si4_b09_m400.05 1e6 376.539581 136 2 2 39
si4_b09_m400.03 1e6 517.137634 170 2 2 43
si4_b09_m400.00 1e6 162.459793 137 2 3 40
si4_b09_m400.07 1e6 253.312698 136 2 2 45
si4_b09_m400.01 1e6 1000.000549 239 2 2 41
si4_b09_m400.06 1e6 1000.000366 199 3 3 44
si4_b09_m400.04 1e6 127.476761 136 2 2 39
si4_b09_m400.02 1e6 1000.000427 183 2 2 41
si4_b09_m400.08 1e6 316.501434 137 3 2 40
si4_b09_m400.09 1e6 105.179352 138 3 3 41
si4_b06m_m400.06 1e6 1000.000000 188 1000001 3 25
si4_b06m_m400.03 1e6 1000.000061 111 1000001 3 24
si4_b06m_m400.01 1e6 1000.000305 115 1000001 2 23
si4_b06m_m400.08 1e6 1000.000183 115 1000001 3 24
si4_b06m_m400.05 1e6 1000.000000 119 1000001 3 25
si4_b06m_m400.07 1e6 1000.000244 184 1000001 2 24
si4_b06m_m400.00 1e6 1000.000244 143 1000001 3 24
si4_b06m_m400.04 1e6 118.911339 134 1000001 2 31
si4_b06m_m400.09 1e6 1000.000061 201 1000001 2 29
si4_b06m_m400.02 1e6 89.517754 142 3 2 25
si2_m4Dr2_m625.05 1e6 1000.000183 206 1000002 8 41
si2_m4Dr2_m625.00 1e6 1000.000366 310 1000002 7 40
si2_m4Dr2_m625.08 1e6 1000.000122 221 1000002 4 33
si2_m4Dr2_m625.09 1e6 179.234131 208 1000002 6 52
si2_m4Dr2_m625.06 1e6 1000.000305 215 1000002 11 41
si2_m4Dr2_m625.04 1e6 1000.000427 239 1000002 17 45
si2_m4Dr2_m625.01 1e6 1000.000061 261 1000002 17 39
si2_m4Dr2_m625.03 1e6 1000.002930 230 1000002 6 37
si2_m4Dr2_m625.02 1e6 1000.000122 218 1000002 13 42
si2_m4Dr2_m625.07 1e6 1000.000183 220 1000002 4 42
si2_r005_m200.02 1000003 1000.000000 120 1000000 1 17
si2_r005_m200.01 1000003 1000.000000 2953 1000000 5619 270
si2_r005_m200.03 1000003 1000.000000 300 1000000 32 41
si2_r005_m200.05 1000003 1000.000000 5779 1000000 448 476
si2_r005_m200.08 1000003 1000.000061 1542 1000000 199 151
