instance clique cp-fc cp-mac james-cpp-max
mcs10_m2Dr4_s100_AB02 404294 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB03 19864 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB04 26812 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB05 112622 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB06 59010 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB07 137595 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s40_AB00 8 0.677333 0.854735 29
mcs10_m2Dr4_s40_AB01 95 9.384519 7.735976 391
mcs10_m2Dr4_s40_AB02 32 4.653483 4.037293 177
mcs10_m2Dr4_s40_AB03 76 5.138451 4.715291 316
mcs10_m2Dr4_s40_AB04 23 4.070361 3.484865 127
mcs10_m2Dr4_s40_AB05 25 1.373064 1.214944 18
mcs10_m2Dr4_s40_AB06 61 4.987317 4.349807 315
mcs10_m2Dr4_s40_AB07 30 3.506801 2.856768 101
mcs10_m2Dr4_s40_AB08 38 2.416255 2.202877 80
mcs10_m2Dr4_s40_AB09 38 1.040210 0.956325 71
mcs10_m2Dr4_s50_AB00 6312 261.117706 230.590378 1449
mcs10_m2Dr4_s50_AB01 343 52.458065 51.419930 822
mcs10_m2Dr4_s50_AB02 980 953.048401 833.388184 17208
mcs10_m2Dr4_s50_AB03 1917 129.647552 115.156525 9200
mcs10_m2Dr4_s50_AB04 2468 132.614548 126.411484 6284
mcs10_m2Dr4_s50_AB05 1410 186.518066 164.647995 6773
mcs10_m2Dr4_s50_AB06 1599 48.687691 45.971355 1330
mcs10_m2Dr4_s50_AB07 603 173.437531 154.277939 1708
mcs10_m2Dr4_s50_AB08 2388 108.891991 98.900635 15116
mcs10_m2Dr4_s50_AB09 2759 418.578278 357.918701 12099
mcs10_m2Dr4_s60_AB00 588 515.552368 495.548187 12121
mcs10_m2Dr4_s60_AB01 278 120.571136 114.208420 4291
