instance clique cp-fc cp-mac james-cpp-max
mcs10_m2Dr6_s100_AB00 461128159 NaN NaN NaN
mcs10_m2Dr6_s100_AB01 NaN NaN NaN NaN
mcs10_m2Dr6_s100_AB02 57446419 NaN NaN NaN
mcs10_m2Dr6_s100_AB03 16578950 NaN NaN NaN
mcs10_m2Dr6_s100_AB04 557348555 NaN NaN NaN
mcs10_m2Dr6_s100_AB05 NaN NaN NaN NaN
mcs10_m2Dr6_s100_AB06 60724474 NaN NaN NaN
mcs10_m2Dr6_s100_AB07 580889451 NaN NaN NaN
mcs10_m2Dr6_s100_AB08 NaN NaN NaN NaN
mcs10_m2Dr6_s100_AB09 295682887 NaN NaN NaN
