instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_m2D_s80_AB02 650 959 28568 1117 947.000000 889.000000 1948.000000
mcs10_m2D_s80_AB03 570 851 25151 983 854.000000 689.000000 859.000000
mcs10_m2D_s80_AB04 676 1046 24648 1083 999.000000 917.000000 1759.000000
mcs10_m2D_s80_AB05 587 862 26371 1002 852.000000 736.000000 1171.000000
mcs10_m2D_s80_AB06 560 851 25111 958 865.000000 808.000000 1704.000000
mcs10_m2D_s80_AB07 580 847 27025 1003 837.000000 795.000000 1441.000000
mcs10_m2D_s80_AB08 531 832 20229 927 822.000000 732.000000 1165.000000
mcs10_m2D_s80_AB09 541 820 22484 936 847.000000 525.000000 16203.000000
mcs10_m2D_s90_AB00 766 1194 37373 2349 1197.000000 1041.000000 24855.000000
mcs10_m2D_s90_AB01 655 960 32747 1170 957.000000 867.000000 2374.000000
mcs10_m2D_s90_AB02 689 992 30691 2336 992.000000 760.000000 2443.000000
mcs10_m2D_s90_AB03 741 1146 32212 1249 1155.000000 939.000000 1719.000000
mcs10_m2D_s90_AB04 713 1024 35110 1241 1014.000000 713.000000 1735.000000
mcs10_m2D_s90_AB05 809 1286 36378 1314 1286.000000 920.000000 1632.000000
mcs10_m2D_s90_AB06 666 952 30807 2235 941.000000 753.000000 1327.000000
mcs10_m2D_s90_AB07 1007 1686 39539 2500 1691.000000 1365.000000 1676.000000
mcs10_m2D_s90_AB08 643 930 30148 1146 961.000000 887.000000 1341.000000
mcs10_m2D_s90_AB09 646 946 35436 1152 936.000000 774.000000 1077.000000
mcs10_m2Dr2_s100_AB00 510 833 28642 827 829.000000 809.000000 2417.000000
mcs10_m2Dr2_s100_AB01 512 847 32430 828 840.000000 728.000000 2055.000000
mcs10_m2Dr2_s100_AB02 566 955 33540 892 965.000000 735.000000 1122.000000
mcs10_m2Dr2_s100_AB03 486 784 26796 818 776.000000 754.000000 2212.000000
mcs10_m2Dr2_s100_AB04 572 917 33972 903 929.000000 681.000000 1099.000000
mcs10_m2Dr2_s100_AB05 548 889 36981 900 881.000000 833.000000 1976.000000
mcs10_m2Dr2_s100_AB06 541 875 23188 870 877.000000 653.000000 948.000000
mcs10_m2Dr2_s100_AB07 481 762 23147 797 775.000000 547.000000 751.000000
mcs10_m2Dr2_s100_AB08 501 767 24371 830 791.000000 673.000000 1547.000000
mcs10_m2Dr2_s100_AB09 537 859 27273 869 855.000000 645.000000 757.000000
mcs10_m2Dr2_s70_AB00 456 758 18897 774 754.000000 624.000000 1150.000000
mcs10_m2Dr2_s70_AB01 476 759 20464 783 759.000000 597.000000 1054.000000
mcs10_m2Dr2_s70_AB02 530 847 18936 850 837.000000 716.000000 1510.000000
mcs10_m2Dr2_s70_AB03 465 760 16815 804 762.000000 722.000000 1269.000000
mcs10_m2Dr2_s70_AB04 474 803 16970 749 791.000000 653.000000 1032.000000
mcs10_m2Dr2_s70_AB05 498 813 15695 829 802.000000 632.000000 1111.000000
mcs10_m2Dr2_s70_AB06 506 803 19682 850 792.000000 672.000000 1158.000000
mcs10_m2Dr2_s70_AB07 483 770 20359 1452 760.000000 734.000000 1062.000000
