instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_m2D_s90_AB02 148 0 14 139 0.012068 0.051575 0.071791
mcs10_m2D_s90_AB03 129 0 15 123 0.012393 0.069144 0.083077
mcs10_m2D_s90_AB04 136 0 24 128 0.011678 0.051917 0.071245
mcs10_m2D_s90_AB05 129 0 17 129 0.013111 0.067013 0.079388
mcs10_m2D_s90_AB06 132 0 16 137 0.011393 0.055552 0.070401
mcs10_m2D_s90_AB07 126 1 18 127 0.014817 0.096143 0.100559
mcs10_m2D_s90_AB08 129 0 16 125 0.011317 0.068477 0.084622
mcs10_m2D_s90_AB09 138 0 20 124 0.010751 0.053592 0.059251
mcs10_m2Dr2_s100_AB00 54 0 17 55 0.007409 0.063694 0.116955
mcs10_m2Dr2_s100_AB01 53 0 21 55 0.007216 0.056480 0.102591
mcs10_m2Dr2_s100_AB02 57 0 21 56 0.007702 0.055806 0.081974
mcs10_m2Dr2_s100_AB03 59 0 16 61 0.012407 0.056842 0.118218
mcs10_m2Dr2_s100_AB04 59 0 21 59 0.007881 0.053896 0.062883
mcs10_m2Dr2_s100_AB05 67 0 30 66 0.008525 0.067468 0.100909
mcs10_m2Dr2_s100_AB06 59 0 12 59 0.007696 0.052403 0.066947
mcs10_m2Dr2_s100_AB07 54 0 13 57 0.006564 0.045773 0.055345
mcs10_m2Dr2_s100_AB08 60 0 14 59 0.006979 0.052914 0.101412
mcs10_m2Dr2_s100_AB09 58 0 16 58 0.007211 0.049230 0.052673
mcs10_m2Dr2_s70_AB00 44 0 9 45 0.005982 0.029478 0.039892
mcs10_m2Dr2_s70_AB01 41 0 10 43 0.005667 0.026880 0.034324
mcs10_m2Dr2_s70_AB02 45 0 9 47 0.006292 0.034090 0.050694
mcs10_m2Dr2_s70_AB03 45 0 8 51 0.006170 0.034935 0.043532
mcs10_m2Dr2_s70_AB04 33 0 8 35 0.005551 0.030968 0.040198
mcs10_m2Dr2_s70_AB05 47 0 6 48 0.006276 0.029947 0.036783
mcs10_m2Dr2_s70_AB06 52 0 9 54 0.006419 0.030952 0.043699
mcs10_m2Dr2_s70_AB07 44 0 9 49 0.005973 0.033416 0.038388
mcs10_m2Dr2_s70_AB08 41 0 9 43 0.005497 0.030691 0.038621
mcs10_m2Dr2_s70_AB09 41 0 7 45 0.005688 0.029467 0.055782
mcs10_m2Dr2_s80_AB00 82 0 14 82 0.009555 0.062869 0.089982
mcs10_m2Dr2_s80_AB01 78 0 19 75 0.009533 0.053526 0.062106
mcs10_m2Dr2_s80_AB02 82 0 17 81 0.008966 0.048198 0.050969
